expert,expert_id,layers,mean_weight,scene,top1_share_mean
LocalConvTransformer,0,768,0.50006,dense,0.333333
WindowTransformer,1,768,0.160434,dense,0.0
DeformableTransformer,2,768,0.339506,dense,0.666667
LocalConvTransformer,0,438,0.499774,dense_small,0.333333
WindowTransformer,1,438,0.16072,dense_small,0.0
DeformableTransformer,2,438,0.339506,dense_small,0.666667
LocalConvTransformer,0,768,0.500114,irregular_occluded,0.333333
WindowTransformer,1,768,0.160382,irregular_occluded,0.0
DeformableTransformer,2,768,0.339505,irregular_occluded,0.666667
LocalConvTransformer,0,768,0.500243,large_objects,0.333333
WindowTransformer,1,768,0.160258,large_objects,0.0
DeformableTransformer,2,768,0.339498,large_objects,0.666667
LocalConvTransformer,0,768,0.499556,small_objects,0.333333
WindowTransformer,1,768,0.160942,small_objects,0.0
DeformableTransformer,2,768,0.339502,small_objects,0.666667
LocalConvTransformer,0,768,0.499916,sparse,0.333333
WindowTransformer,1,768,0.160589,sparse,0.0
DeformableTransformer,2,768,0.339495,sparse,0.666667
LocalConvTransformer,0,600,0.500134,sparse_large,0.333333
WindowTransformer,1,600,0.160369,sparse_large,0.0
DeformableTransformer,2,600,0.339497,sparse_large,0.666667
