key,model,epoch,mAP50-95,mAP50,train_total_loss,val_total_loss
v10,EsMoE-N,1,0.00369,0.01239,12.341499999999998,8.80914
v10,EsMoE-N,2,0.01822,0.04525,7.6084,6.33249
v10,EsMoE-N,3,0.03141,0.07041,6.36771,5.616899999999999
v10,EsMoE-N,4,0.03895,0.08208,5.74881,5.18712
v10,EsMoE-N,5,0.04481,0.09564,5.413819999999999,5.01819
v10,EsMoE-N,6,0.05247,0.10705,5.19636,4.8105899999999995
v10,EsMoE-N,7,0.05441,0.10967,5.03975,4.71419
v10,EsMoE-N,8,0.06187,0.1238,4.900329999999999,4.53376
v10,EsMoE-N,9,0.06732,0.1314,4.811579999999999,4.48825
v10,EsMoE-N,10,0.06978,0.13453,4.733899999999999,4.4108
v10,EsMoE-N,11,0.07607,0.14601,4.64164,4.32911
v10,EsMoE-N,12,0.07562,0.14553,4.60976,4.32009
v10,EsMoE-N,13,0.07503,0.14369,4.54708,4.28023
v10,EsMoE-N,14,0.08171,0.15384,4.49934,4.234780000000001
v10,EsMoE-N,15,0.08419,0.1604,4.46629,4.18877
v10,EsMoE-N,16,0.08593,0.16037,4.4307,4.18664
v10,EsMoE-N,17,0.09029,0.17226,4.386299999999999,4.11319
v10,EsMoE-N,18,0.09364,0.17522,4.35703,4.062860000000001
v10,EsMoE-N,19,0.0932,0.17507,4.319870000000001,4.06478
v10,EsMoE-N,20,0.09458,0.17622,4.280969999999999,4.02929
v10,EsMoE-N,21,0.09907,0.18459,4.27254,4.00031
v10,EsMoE-N,22,0.10094,0.18718,4.22591,3.9765300000000003
v10,EsMoE-N,23,0.10117,0.187,4.20384,3.97018
v10,EsMoE-N,24,0.10516,0.1951,4.17753,3.94027
v10,EsMoE-N,25,0.10344,0.19204,4.150659999999999,3.9394099999999996
v10,EsMoE-N,26,0.10693,0.19699,4.16399,3.9000899999999996
v10,EsMoE-N,27,0.10838,0.19924,4.1282000000000005,3.88342
v10,EsMoE-N,28,0.10936,0.20187,4.10722,3.87675
v10,EsMoE-N,29,0.11207,0.20429,4.09577,3.84548
v10,EsMoE-N,30,0.11137,0.2051,4.07703,3.84331
v10,EsMoE-N,31,0.1134,0.20817,4.0607999999999995,3.82461
v10,EsMoE-N,32,0.11562,0.20968,4.050109999999999,3.82016
v10,EsMoE-N,33,0.11386,0.2082,4.045389999999999,3.80936
v10,EsMoE-N,34,0.1152,0.21125,4.02993,3.79521
v10,EsMoE-N,35,0.11698,0.21323,4.00916,3.78696
v10,EsMoE-N,36,0.11914,0.21683,3.99154,3.7660599999999995
v10,EsMoE-N,37,0.11901,0.21666,3.9737299999999998,3.76746
v10,EsMoE-N,38,0.11914,0.2174,3.97452,3.763
v10,EsMoE-N,39,0.12002,0.21896,3.94371,3.74931
v10,EsMoE-N,40,0.12083,0.21982,3.93417,3.7436099999999994
v10,EsMoE-N,41,0.11887,0.21758,3.85827,3.7626799999999996
v10,EsMoE-N,42,0.11944,0.21781,3.8074000000000003,3.75664
v10,EsMoE-N,43,0.1207,0.22099,3.7956800000000004,3.7454099999999997
v10,EsMoE-N,44,0.12226,0.22275,3.7703800000000003,3.74429
v10,EsMoE-N,45,0.12137,0.2204,3.7564099999999994,3.73253
v10,EsMoE-N,46,0.12297,0.22304,3.7478700000000003,3.72797
v10,EsMoE-N,47,0.12334,0.22345,3.73832,3.72607
v10,EsMoE-N,48,0.12327,0.22376,3.72786,3.71873
v10,EsMoE-N,49,0.12328,0.22339,3.72699,3.7199
v10,EsMoE-N,50,0.12324,0.22356,3.7081699999999995,3.7163899999999996
v10_mot,MoT-N,1,0.00351,0.01453,12.771150000000002,8.90549
v10_mot,MoT-N,2,0.01738,0.04583,7.804989999999999,6.47016
v10_mot,MoT-N,3,0.02954,0.06818,6.53278,5.783460000000001
v10_mot,MoT-N,4,0.03631,0.0809,5.90737,5.36572
v10_mot,MoT-N,5,0.04452,0.09542,5.5513200000000005,5.04066
v10_mot,MoT-N,6,0.05034,0.10461,5.35559,4.891120000000001
v10_mot,MoT-N,7,0.05519,0.11335,5.20227,4.78958
v10_mot,MoT-N,8,0.05737,0.1175,5.063479999999999,4.70824
v10_mot,MoT-N,9,0.0638,0.13015,4.95931,4.595
v10_mot,MoT-N,10,0.06366,0.12658,4.87744,4.53458
v10_mot,MoT-N,11,0.07123,0.14036,4.771739999999999,4.42718
v10_mot,MoT-N,12,0.06771,0.13757,4.72884,4.464169999999999
